0	1	0	0.96	-1	-1	-1	0.029
1	1.4442	0	0.96	-1	-1	-1	0.033
1.566	2.0	0	0.96	-1	-1	-1	0.041
2.0	2.5	0	0.96	-1	-1	-1	0.070
0	1	0.96	10	-1	-1	-1	0.012
1	1.4442	0.96	10	-1	-1	-1	0.298
1.566	2.0	0.96	10	-1	-1	-1	0.034
2.0	2.5	0.96	10	-1	-1	-1	0.023
