paper	invMass_leadCat00_subleadCat31	invMass_ECAL_ele	(0.0, 1.0)	(0.0, 0.96)	(32, 39)	(2.0, 2.5)	(0.96, 10.0)	(65, -1)
paper	invMass_leadCat01_subleadCat01	invMass_ECAL_ele	(0.0, 1.0)	(0.0, 0.96)	(39, 50)	(0.0, 1.0)	(0.0, 0.96)	(39, 50)
paper	invMass_leadCat01_subleadCat02	invMass_ECAL_ele	(0.0, 1.0)	(0.0, 0.96)	(39, 50)	(0.0, 1.0)	(0.0, 0.96)	(50, 65)
paper	invMass_leadCat01_subleadCat03	invMass_ECAL_ele	(0.0, 1.0)	(0.0, 0.96)	(39, 50)	(0.0, 1.0)	(0.0, 0.96)	(65, -1)
paper	invMass_leadCat01_subleadCat04	invMass_ECAL_ele	(0.0, 1.0)	(0.0, 0.96)	(39, 50)	(0.0, 1.0)	(0.96, 10.0)	(32, 39)
paper	invMass_leadCat01_subleadCat05	invMass_ECAL_ele	(0.0, 1.0)	(0.0, 0.96)	(39, 50)	(0.0, 1.0)	(0.96, 10.0)	(39, 50)
paper	invMass_leadCat01_subleadCat06	invMass_ECAL_ele	(0.0, 1.0)	(0.0, 0.96)	(39, 50)	(0.0, 1.0)	(0.96, 10.0)	(50, 65)
paper	invMass_leadCat01_subleadCat07	invMass_ECAL_ele	(0.0, 1.0)	(0.0, 0.96)	(39, 50)	(0.0, 1.0)	(0.96, 10.0)	(65, -1)
paper	invMass_leadCat01_subleadCat08	invMass_ECAL_ele	(0.0, 1.0)	(0.0, 0.96)	(39, 50)	(1.0, 1.4442)	(0.0, 0.96)	(32, 39)
paper	invMass_leadCat01_subleadCat09	invMass_ECAL_ele	(0.0, 1.0)	(0.0, 0.96)	(39, 50)	(1.0, 1.4442)	(0.0, 0.96)	(39, 50)
paper	invMass_leadCat01_subleadCat10	invMass_ECAL_ele	(0.0, 1.0)	(0.0, 0.96)	(39, 50)	(1.0, 1.4442)	(0.0, 0.96)	(50, 65)
paper	invMass_leadCat01_subleadCat11	invMass_ECAL_ele	(0.0, 1.0)	(0.0, 0.96)	(39, 50)	(1.0, 1.4442)	(0.0, 0.96)	(65, -1)
paper	invMass_leadCat01_subleadCat12	invMass_ECAL_ele	(0.0, 1.0)	(0.0, 0.96)	(39, 50)	(1.0, 1.4442)	(0.96, 10.0)	(32, 39)
paper	invMass_leadCat01_subleadCat13	invMass_ECAL_ele	(0.0, 1.0)	(0.0, 0.96)	(39, 50)	(1.0, 1.4442)	(0.96, 10.0)	(39, 50)
paper	invMass_leadCat01_subleadCat14	invMass_ECAL_ele	(0.0, 1.0)	(0.0, 0.96)	(39, 50)	(1.0, 1.4442)	(0.96, 10.0)	(50, 65)
paper	invMass_leadCat01_subleadCat15	invMass_ECAL_ele	(0.0, 1.0)	(0.0, 0.96)	(39, 50)	(1.0, 1.4442)	(0.96, 10.0)	(65, -1)
paper	invMass_leadCat01_subleadCat16	invMass_ECAL_ele	(0.0, 1.0)	(0.0, 0.96)	(39, 50)	(1.566, 2.0)	(0.0, 0.96)	(32, 39)
paper	invMass_leadCat01_subleadCat17	invMass_ECAL_ele	(0.0, 1.0)	(0.0, 0.96)	(39, 50)	(1.566, 2.0)	(0.0, 0.96)	(39, 50)
paper	invMass_leadCat01_subleadCat18	invMass_ECAL_ele	(0.0, 1.0)	(0.0, 0.96)	(39, 50)	(1.566, 2.0)	(0.0, 0.96)	(50, 65)
paper	invMass_leadCat01_subleadCat19	invMass_ECAL_ele	(0.0, 1.0)	(0.0, 0.96)	(39, 50)	(1.566, 2.0)	(0.0, 0.96)	(65, -1)
